Temperature, Density, Number of particles, Number of time steps, Step size
16,0.2,500,10000,0.005
Average potential energy, Pressure
-5.6888,7.7077
Radial Distribution Function
r, g(r)
7.1,0.070806
7.12,0.06859
7.14,0.070891
7.16,0.069587
7.18,0.070291
7.2,0.068516
7.22,0.069068
7.24,0.068927
7.26,0.07061
7.28,0.06852
7.3,0.069365
7.32,0.066686
7.34,0.066522
7.36,0.068651
7.38,0.064466
7.4,0.066847
7.42,0.065342
7.44,0.065307
7.46,0.066439
7.48,0.065425
7.5,0.065784
7.52,0.066258
7.54,0.066641
7.56,0.065882
7.58,0.065619
7.6,0.066517
7.62,0.06804
7.64,0.065889
7.66,0.065893
7.68,0.064003
7.7,0.064981
7.72,0.064873
7.74,0.064862
7.76,0.065736
7.78,0.064196
7.8,0.064091
7.82,0.06351
7.84,0.063944
7.86,0.063635
7.88,0.064828
7.9,0.063474
7.92,0.063076
7.94,0.061974
7.96,0.060024
7.98,0.060973
8,0.062761
8.02,0.062237
8.04,0.059796
8.06,0.0618
8.08,0.06151
8.1,0.061192
8.12,0.06301
8.14,0.060211
8.16,0.060965
8.18,0.060059
8.2,0.060141
8.22,0.060495
8.24,0.060345
8.26,0.060281
8.28,0.060528
8.3,0.06111
8.32,0.060269
8.34,0.059144
8.36,0.060291
8.38,0.059423
8.4,0.060667
8.42,0.060256
8.44,0.058064
8.46,0.058793
8.48,0.057639
8.5,0.057019
8.52,0.057099
8.54,0.058761
8.56,0.059228
8.58,0.05948
8.6,0.058167
8.62,0.05791
8.64,0.059346
8.66,0.057985
8.68,0.057963
8.7,0.057966
8.72,0.056845
8.74,0.05675
8.76,0.056669
8.78,0.056927
8.8,0.056794
8.82,0.056324
8.84,0.056144
8.86,0.059402
8.88,0.055849
8.9,0.057117
8.92,0.055483
8.94,0.056328
8.96,0.055956
8.98,0.056562
9,0.055771
9.02,0.055429
9.04,0.054317
9.06,0.05429
9.08,0.054663
9.1,0.055959
9.12,0.055002
9.14,0.057503
9.16,0.055401
9.18,0.054032
9.2,0.054611
9.22,0.05337
9.24,0.054526
9.26,0.054268
9.28,0.054631
9.3,0.05516
9.32,0.05356
9.34,0.053153
9.36,0.053402
9.38,0.053407
9.4,0.053421
9.42,0.054441
9.44,0.052926
9.46,0.052887
9.48,0.052675
9.5,0.052346
9.52,0.051655
9.54,0.051854
9.56,0.053305
9.58,0.052659
9.6,0.053304
9.62,0.051834
9.64,0.052977
9.66,0.051135
9.68,0.051214
9.7,0.051437
9.72,0.050681
9.74,0.050708
9.76,0.049594
9.78,0.051775
9.8,0.050736
9.82,0.050288
9.84,0.051637
9.86,0.05007
9.88,0.050912
9.9,0.050785
9.92,0.050896
9.94,0.050711
9.96,0.049471
9.98,0.049555
10,0.050435
10.02,0.049634
10.04,0.04961
10.06,0.049346
10.08,0.049685
10.1,0.049593
10.12,0.047947
10.14,0.048721
10.16,0.049592
10.18,0.04921
10.2,0.048336
10.22,0.04929
10.24,0.047571
10.26,0.048713
10.28,0.049396
10.3,0.048262
10.32,0.049041
10.34,0.048407
10.36,0.048726
10.38,0.046269
10.4,0.048487
10.42,0.047255
10.44,0.046576
10.46,0.047001
10.48,0.04843
10.5,0.0477
10.52,0.046282
10.54,0.049129
10.56,0.048935
